,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
301,2015-10-29,5.39,-0.06,84.89,86.01,84.07,85.19,2141406451.0,,,,
302,2015-10-30,5.92,1.09,85.32,86.14,84.36,85.07,2492577256.0,,,,
303,2015-10-31,9.48,3.28,,,,,,,,,
304,2015-11-01,7.43,0.79,,,,,,Mississippi,Tupelo,1.0,0.0
305,2015-11-02,10.35,4.38,85.18,86.46,84.59,86.04,2160545896.0,,,,
306,2015-11-03,2.96,-4.84,85.87,86.81,85.04,86.07,2267808166.0,,,,
307,2015-11-04,5.32,-0.9,86.18,86.86,85.08,85.86,2347469142.0,California,Merced,1.0,0.0
308,2015-11-05,9.84,6.18,85.85,86.71,84.96,85.91,2264304701.0,,,,
309,2015-11-06,8.06,2.69,85.71,86.54,84.47,85.62,2532518944.0,California,Ingelwood,1.0,0.0
310,2015-11-07,2.36,-5.03,,,,,,,,,
311,2015-11-08,4.07,-3.54,,,,,,,,,
312,2015-11-09,4.41,-1.61,85.18,85.76,83.77,84.57,2293718171.0,,,,
313,2015-11-10,4.25,-1.16,84.37,85.41,83.78,84.93,2206900946.0,,,,
314,2015-11-11,5.83,1.33,85.14,85.73,84.13,84.69,2076544370.0,,,,
315,2015-11-12,6.26,1.69,84.15,84.89,83.14,83.45,2384339908.0,,,,
316,2015-11-13,4.41,-1.71,83.24,84.01,82.0,82.56,2567131782.0,,,,
317,2015-11-14,1.49,-6.86,,,,,,,,,
318,2015-11-15,5.05,-1.7,,,,,,Connecticut,Meriden,1.0,0.0
319,2015-11-16,6.65,2.13,82.33,83.79,81.74,83.56,2306909525.0,,,,
320,2015-11-17,13.33,9.49,83.69,84.61,82.76,83.5,2535343581.0,,,,
321,2015-11-18,18.22,14.28,83.74,85.09,83.14,84.83,2331506397.0,,,,
322,2015-11-19,11.61,6.61,84.76,85.52,84.01,84.73,2107648426.0,Virginia,Falls Church,1.0,0.0
